,industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
447,18,0.265282,22.0,4,16,2,2,15,2023
448,13,0.11,491.0,13,59,2,2,15,2023
449,26,0.04,429.0,13,59,2,2,15,2023
450,7,0.265282,435.0,7,59,0,2,15,2023
451,21,0.265282,180.0,3,59,0,2,15,2023
452,9,0.2,86.0,2,1,3,2,15,2023
453,17,0.14,1100.0,13,59,3,2,15,2023
454,26,0.265282,214.0,4,59,3,2,15,2023
455,18,0.265282,63.0,3,59,3,2,15,2023
456,19,0.15,148.0,4,59,3,2,15,2023
457,12,0.14,185.0,13,59,3,2,15,2023
458,19,0.14,157.0,13,59,4,2,14,2023
459,23,0.31,157.0,14,59,4,2,14,2023
460,23,1.0,2.0,0,17,1,2,14,2023
461,10,0.08,11.0,3,59,3,2,14,2023
462,12,0.7,40.0,3,22,3,2,14,2023
463,5,0.1,311.0,13,59,3,2,14,2023
464,19,0.17,614.0,13,59,4,2,13,2023
465,19,0.25,212.0,5,59,2,2,13,2023
466,17,1.0,157.0,0,59,2,2,13,2023
467,23,0.265282,225.0,4,5,1,2,13,2023
468,2,0.07,30.0,14,59,1,2,13,2023
469,12,0.265282,719.0,7,59,1,2,13,2023
470,3,0.265282,170.0,3,59,0,2,13,2023
471,21,0.3,708.0,0,26,3,2,13,2023
472,9,0.265282,749.0,14,48,3,2,13,2023
473,9,0.265282,1800.0,6,58,3,2,13,2023
474,22,0.265282,154.0,14,59,3,2,13,2023
475,27,0.11,138.0,3,23,4,2,12,2023
476,17,0.2,16.0,14,59,2,2,10,2023
477,12,0.72,278.0,13,7,1,2,10,2023
478,2,0.265282,9400.0,14,22,0,2,10,2023
479,16,0.2,157.0,12,35,0,2,10,2023
480,7,0.265282,140.0,5,5,0,2,10,2023
481,11,0.28,298.0,13,59,3,2,10,2023
482,5,0.265282,24.0,2,59,0,2,10,2023
483,2,0.2,6.0,14,59,4,2,9,2023
484,9,0.33,526.0,4,59,4,2,9,2023
485,9,0.09,1700.0,13,58,4,2,9,2023
486,12,0.35,856.0,9,59,1,2,9,2023
487,7,0.1,566.0,13,59,2,2,9,2023
488,20,0.07,413.0,13,59,2,2,9,2023
489,23,0.12,157.0,13,59,2,2,9,2023
490,12,0.17,218.0,0,59,2,2,9,2023
491,25,0.12,192.0,4,14,1,2,9,2023
492,27,0.11,317.0,13,25,0,2,9,2023
493,20,0.1,350.0,14,59,3,2,9,2023
494,18,0.265282,157.0,0,59,3,2,9,2023
495,3,1.0,157.0,0,22,3,2,9,2023
496,17,0.08,800.0,13,59,4,2,8,2023
497,7,0.19,1500.0,13,59,4,2,8,2023
498,10,0.05,746.0,6,59,2,2,8,2023
499,24,0.07,583.0,6,59,1,2,8,2023
500,12,0.08,168.0,6,59,0,2,8,2023
501,7,0.25,85.0,3,59,0,2,8,2023
502,27,0.75,63.0,0,1,3,2,8,2023
503,7,0.14,278.0,5,7,3,2,8,2023
504,12,1.0,100.0,4,59,3,2,8,2023
505,1,0.2,15.0,14,1,3,2,8,2023
506,19,0.15,276.0,13,59,4,2,7,2023
507,23,0.04,1200.0,13,59,1,2,7,2023
508,25,0.09,83.0,13,59,2,2,7,2023
509,24,0.1,245.0,14,59,2,2,7,2023
510,7,1.0,299.0,13,1,1,2,7,2023
511,5,0.09,56.0,12,24,0,2,7,2023
512,10,0.19,106.0,3,59,3,2,7,2023
513,11,0.05,157.0,13,59,4,2,6,2023
514,15,0.07,507.0,7,5,4,2,6,2023
515,23,0.265282,80.0,14,1,2,2,6,2023
516,27,0.265282,157.0,15,59,1,2,6,2023
517,17,0.265282,107.0,14,59,1,2,6,2023
