industry,percentage,funds_raised,stage,country,month,day,year,laid_off_count
19,0.1,307.0,13,59,4,19,2023,1
21,0.22,1900.0,13,59,4,18,2023,2
23,0.1,157.0,0,45,4,18,2023,2
10,0.09,257.0,7,1,4,18,2023,1
3,0.09,149.0,3,59,4,18,2023,0
9,1.0,3.0,1,1,4,18,2023,2
2,0.25,157.0,1,41,4,17,2023,1
7,0.15,304.0,5,59,4,17,2023,1
5,0.03,389.0,5,7,4,17,2023,1
9,0.25,579.0,5,16,4,17,2023,0
7,0.265282,42.0,2,22,4,17,2023,2
18,0.265282,94.0,4,40,4,17,2023,2
25,1.0,157.0,0,25,4,16,2023,2
7,0.2,85.0,4,59,4,14,2023,1
3,0.17,18.0,2,59,4,14,2023,0
12,0.18,127.0,3,59,4,14,2023,2
9,0.265282,139.0,4,23,4,14,2023,2
25,0.265282,849.0,7,59,4,13,2023,1
4,0.4,282.0,4,59,4,13,2023,1
18,1.0,157.0,1,22,4,13,2023,2
28,1.0,20.0,2,58,4,13,2023,2
3,1.0,157.0,0,36,4,13,2023,2
24,0.265282,59.0,12,59,4,13,2023,2
19,0.04,366.0,13,59,4,12,2023,2
12,0.265282,347.0,13,59,4,12,2023,1
12,0.265282,5900.0,13,59,4,12,2023,0
9,1.0,86.0,2,1,4,11,2023,2
21,0.04,320.0,13,59,4,11,2023,1
17,0.4,105.0,4,58,4,11,2023,1
12,0.25,19.0,0,8,4,11,2023,0
17,0.265282,157.0,13,59,4,11,2023,2
27,0.1,92.0,4,22,4,11,2023,2
5,0.265282,81.0,3,59,4,11,2023,2
15,0.08,399.0,5,59,4,10,2023,0
6,0.37,13.0,0,59,4,10,2023,0
7,0.25,71.0,3,22,4,9,2023,1
12,0.265282,222.0,5,22,4,8,2023,0
12,0.92,409.0,13,59,4,7,2023,1
12,0.265282,138.0,4,59,4,7,2023,1
7,0.2,120.0,4,22,4,7,2023,1
25,0.05,157.0,13,7,4,6,2023,0
27,1.0,157.0,1,17,4,6,2023,0
9,0.3,382.0,0,22,4,5,2023,2
4,0.13,311.0,13,59,4,5,2023,0
23,0.4,157.0,3,22,4,4,2023,2
12,0.265282,96.0,14,59,4,4,2023,1
23,0.265282,30.0,0,1,4,4,2023,0
7,0.2,37.0,3,59,4,4,2023,0
23,0.265282,157.0,12,35,4,4,2023,2
19,0.2,157.0,14,59,4,3,2023,2
19,0.23,2300.0,13,59,4,3,2023,1
7,0.11,339.0,6,59,4,3,2023,0
22,0.12,42.0,0,59,4,3,2023,0
23,0.265282,6200.0,13,59,4,3,2023,2
7,0.265282,1800.0,5,58,4,3,2023,2
5,0.45,130.0,5,51,3,31,2023,1
4,0.265282,181.0,3,59,3,31,2023,0
18,0.265282,683.0,14,9,3,30,2023,1
18,0.06,208.0,13,59,3,30,2023,1
7,0.13,157.0,13,59,3,30,2023,1
2,0.75,50.0,3,22,3,30,2023,1
7,0.25,24.0,2,59,3,30,2023,0
24,0.15,116.0,4,59,3,30,2023,0
18,0.265282,2100.0,13,52,3,30,2023,0
17,0.17,157.0,0,59,3,30,2023,2
22,0.9,157.0,14,48,3,30,2023,2
13,0.265282,157.0,13,59,3,30,2023,2
15,0.15,157.0,4,32,3,30,2023,2
5,0.12,838.0,9,22,3,30,2023,2
12,0.265282,5.0,14,59,3,29,2023,2
2,0.06,2.0,13,59,3,29,2023,2
11,0.265282,157.0,13,59,3,29,2023,2
23,0.265282,119.0,14,59,3,29,2023,1
12,0.28,59.0,13,59,3,29,2023,0
19,0.25,37.0,3,2,3,29,2023,2
7,0.265282,9.0,1,36,3,29,2023,2
27,0.3,504.0,13,59,3,29,2023,2
27,0.18,8300.0,13,59,3,28,2023,2
23,0.265282,62.0,14,59,3,28,2023,1
27,0.33,314.0,13,59,3,28,2023,0
