industry,percentage,funds_raised,stage,country,laid_off_count,month,day,year
4,0.14,70,4,58,'\'(245.743-inf)\'',5,4,2023
19,0.08,1300,13,59,'\'(245.743-inf)\'',5,3,2023
19,0.15,168,13,59,'\'(74.5-245.743]\'',5,3,2023
27,0.265282,1300,8,23,'\'(74.5-245.743]\'',5,3,2023
12,0.33,185,5,59,'\'(-inf-74.5]\'',5,3,2023
19,0.265282,974,14,59,'\'(-inf-74.5]\'',5,3,2023
18,0.13,28,4,59,'\'(-inf-74.5]\'',5,3,2023
17,0.1,145,13,59,'\'(245.743-inf)\'',5,3,2023
12,0.2,212,4,59,'\'(245.743-inf)\'',5,3,2023
25,0.13,146,3,59,'\'(-inf-74.5]\'',5,2,2023
27,0.08,105,3,1,'\'(-inf-74.5]\'',5,2,2023
4,1,157,1,16,'\'(245.743-inf)\'',5,2,2023
21,0.265282,114,3,59,'\'(-inf-74.5]\'',5,1,2023
12,0.265282,1600,0,22,'\'(245.743-inf)\'',5,1,2023
4,0.265282,157,0,22,'\'(74.5-245.743]\'',4,29,2023
12,0.3,899,13,59,'\'(-inf-74.5]\'',4,28,2023
7,0.04,1700,6,59,'\'(-inf-74.5]\'',4,28,2023
12,0.265282,94,3,59,'\'(-inf-74.5]\'',4,28,2023
2,1,15,2,59,'\'(245.743-inf)\'',4,28,2023
9,1,157,0,1,'\'(245.743-inf)\'',4,28,2023
19,0.16,1700,13,59,'\'(245.743-inf)\'',4,27,2023
4,0.11,613,13,59,'\'(245.743-inf)\'',4,27,2023
27,0.11,1300,13,59,'\'(74.5-245.743]\'',4,27,2023
22,0.12,110,12,59,'\'(74.5-245.743]\'',4,27,2023
4,0.265282,150,3,59,'\'(74.5-245.743]\'',4,27,2023
10,0.265282,30,14,59,'\'(74.5-245.743]\'',4,27,2023
13,0.16,98,13,1,'\'(-inf-74.5]\'',4,27,2023
23,0.2,26,4,1,'\'(-inf-74.5]\'',4,27,2023
19,0.14,140,3,59,'\'(-inf-74.5]\'',4,27,2023
7,0.29,5,1,22,'\'(-inf-74.5]\'',4,27,2023
2,0.5,110,4,59,'\'(245.743-inf)\'',4,27,2023
9,0.25,9,3,48,'\'(245.743-inf)\'',4,27,2023
5,0.265282,157,0,22,'\'(245.743-inf)\'',4,26,2023
7,0.33,79,3,59,'\'(-inf-74.5]\'',4,26,2023
1,1,163,3,7,'\'(245.743-inf)\'',4,26,2023
5,0.265282,17,2,22,'\'(245.743-inf)\'',4,25,2023
7,0.5,272,5,59,'\'(74.5-245.743]\'',4,25,2023
9,0.4,1000,3,17,'\'(245.743-inf)\'',4,24,2023
